neighbourhood,avg_sentiment,review_count
Arenella,4.508426281124446,3844
Avvocata,4.479977823844319,20831
Bagnoli,4.468479320186897,745
Barra,4.338918256538886,324
Chiaia,4.498966417398136,23866
Chiaiano,4.412412088168295,76
Fuorigrotta,4.514433574722989,3591
Mercato,4.404447563723548,8888
Montecalvario,4.4818854653175375,28180
Pendino,4.445051445444419,46781
Pianura,4.5307177499283195,172
Piscinola,4.537825786331553,810
Poggioreale,4.312164553816708,1334
Ponticelli,4.404084118381961,455
Porto,4.495311218858392,26254
Posillipo,4.50477419505705,4063
San Carlo all'Arena,4.426229938065697,13409
San Ferdinando,4.510084999257184,37990
San Giovanni a Teduccio,4.355018020964957,555
San Giuseppe,4.502176545921514,26757
San Lorenzo,4.45896655187496,91442
San Pietro a Patierno,4.41115829696903,924
Scampia,4.570561207257784,26
Secondigliano,4.4409118084787575,954
Soccavo,4.490761709213257,245
Stella,4.458804823199392,15258
Vicaria,4.421140151168934,8579
Vomero,4.529320211600629,12441
Zona Industriale,4.378391913642149,5455
